2	2
3	3
5	5
7	7
11	1
13	3
17	7
19	9
23	6
29	18
31	3
37	21
41	4
43	12
47	28
53	15
59	45
61	6
67	42
71	7
73	21
79	63
83	24
89	72
97	63
101	0
103	0
107	0
109	0
113	3
127	14
131	3
137	21
139	27
149	36
151	5
157	35
163	18
167	42
173	21
179	63
181	8
191	9
193	27
197	63
199	81
211	2
223	12
227	28
229	36
233	18
239	54
241	8
251	10
257	70
263	36
269	108
271	14
277	98
281	16
283	48
293	54
307	0
311	3
313	9
317	21
331	9
337	63
347	84
349	108
353	45
359	135
367	126
373	63
379	189
383	72
389	216
397	189
401	0
409	0
419	36
421	8
431	12
433	36
439	108
443	48
449	144
457	140
461	24
463	72
467	168
479	252
487	224
491	36
499	324
503	0
509	0
521	10
523	30
541	20
547	140
557	175
563	90
569	270
571	35
577	245
587	280
593	135
599	405
601	0
607	0
613	18
617	42
619	54
631	18
641	24
643	72
647	168
653	90
659	270
661	36
673	126
677	294
683	144
691	54
701	0
709	0
719	63
727	98
733	63
739	189
743	84
751	35
757	245
761	42
769	378
773	147
787	392
797	441
809	0
811	8
821	16
823	48
827	112
829	144
839	216
853	120
857	280
859	360
863	144
877	392
881	64
883	192
887	448
907	0
911	9
919	81
929	162
937	189
941	36
947	252
953	135
967	378
971	63
977	441
983	216
991	81
997	567
