2	2	2	2
3	3	3	3
5	5	5	5
7	7	7	7
11	2	2	2
13	4	4	4
17	8	8	8
19	10	1	1
23	5	5	5
29	11	2	2
31	4	4	4
37	10	1	1
41	5	5	5
43	7	7	7
47	11	2	2
53	8	8	8
59	14	5	5
61	7	7	7
67	13	4	4
71	8	8	8
73	10	1	1
79	16	7	7
83	11	2	2
89	17	8	8
97	16	7	7
101	2	2	2
103	4	4	4
107	8	8	8
109	10	1	1
113	5	5	5
127	10	1	1
131	5	5	5
137	11	2	2
139	13	4	4
149	14	5	5
151	7	7	7
157	13	4	4
163	10	1	1
167	14	5	5
173	11	2	2
179	17	8	8
181	10	1	1
191	11	2	2
193	13	4	4
197	17	8	8
199	19	10	1
211	4	4	4
223	7	7	7
227	11	2	2
229	13	4	4
233	8	8	8
239	14	5	5
241	7	7	7
251	8	8	8
257	14	5	5
263	11	2	2
269	17	8	8
271	10	1	1
277	16	7	7
281	11	2	2
283	13	4	4
293	14	5	5
307	10	1	1
311	5	5	5
313	7	7	7
317	11	2	2
331	7	7	7
337	13	4	4
347	14	5	5
349	16	7	7
353	11	2	2
359	17	8	8
367	16	7	7
373	13	4	4
379	19	10	1
383	14	5	5
389	20	2	2
397	19	10	1
401	5	5	5
409	13	4	4
419	14	5	5
421	7	7	7
431	8	8	8
433	10	1	1
439	16	7	7
443	11	2	2
449	17	8	8
457	16	7	7
461	11	2	2
463	13	4	4
467	17	8	8
479	20	2	2
487	19	10	1
491	14	5	5
499	22	4	4
503	8	8	8
509	14	5	5
521	8	8	8
523	10	1	1
541	10	1	1
547	16	7	7
557	17	8	8
563	14	5	5
569	20	2	2
571	13	4	4
577	19	10	1
587	20	2	2
593	17	8	8
599	23	5	5
601	7	7	7
607	13	4	4
613	10	1	1
617	14	5	5
619	16	7	7
631	10	1	1
641	11	2	2
643	13	4	4
647	17	8	8
653	14	5	5
659	20	2	2
661	13	4	4
673	16	7	7
677	20	2	2
683	17	8	8
691	16	7	7
701	8	8	8
709	16	7	7
719	17	8	8
727	16	7	7
733	13	4	4
739	19	10	1
743	14	5	5
751	13	4	4
757	19	10	1
761	14	5	5
769	22	4	4
773	17	8	8
787	22	4	4
797	23	5	5
809	17	8	8
811	10	1	1
821	11	2	2
823	13	4	4
827	17	8	8
829	19	10	1
839	20	2	2
853	16	7	7
857	20	2	2
859	22	4	4
863	17	8	8
877	22	4	4
881	17	8	8
883	19	10	1
887	23	5	5
907	16	7	7
911	11	2	2
919	19	10	1
929	20	2	2
937	19	10	1
941	14	5	5
947	20	2	2
953	17	8	8
967	22	4	4
971	17	8	8
977	23	5	5
983	20	2	2
991	19	10	1
997	25	7	7
