2	4
3	9	16	0
5	25	24	1
7	49	72	1
11	121	48	1
13	169	120	2
17	289	72	1
19	361	168	1
23	529	312	2
29	841	120	1
31	961	408	1
37	1369	312	3
41	1681	168	2
43	1849	360	1
47	2209	600	1
53	2809	672	1
59	3481	240	1
61	3721	768	1
67	4489	552	1
71	5041	288	1
73	5329	912	1
79	6241	648	2
83	6889	1032	1
89	7921	1488	2
97	9409	792	1
101	10201	408	1
103	10609	840	3
107	11449	432	4
109	11881	888	3
113	12769	3360	2
127	16129	1032	2
131	17161	1608	2
137	18769	552	1
139	19321	2880	1
149	22201	600	3
151	22801	1848	2
157	24649	1920	2
163	26569	1320	1
167	27889	2040	1
173	29929	2112	3
179	32041	720	1
181	32761	3720	2
191	36481	768	1
193	37249	1560	2
197	38809	792	1
199	39601	4920	1
211	44521	5208	1
223	49729	1800	2
227	51529	912	1
229	52441	1848	1
233	54289	2832	1
239	57121	960	1
241	58081	4920	5
251	63001	3048	1
257	66049	3120	1
263	69169	3192	1
269	72361	1080	1
271	73441	3288	1
277	76729	2232	1
281	78961	1128	2
283	80089	5760	1
293	85849	8400	1
307	94249	2472	2
311	96721	1248	1
313	97969	2520	2
317	100489	9072	1
331	109561	4008	1
337	113569	6840	3
347	120409	1392	2
349	121801	2808	3
353	124609	4272	2
359	128881	5808	3
367	134689	4440	3
373	139129	4512	3
379	143641	3048	2
383	146689	4632	3
389	151321	6288	4
397	157609	3192	2
401	160801	6480	1
409	167281	8280	1
419	175561	1680	1
421	177241	8520	1
431	185761	1728	2
433	187489	5232	3
439	192721	3528	3
443	196249	5352	2
449	201601	7248	2
457	208849	3672	2
461	212521	1848	1
463	214369	3720	2
467	218089	11352	1
479	229441	7728	3
487	237169	3912	3
491	241081	7920	1
499	249001	4008	1
503	253009	6072	3
509	259081	12360	1
521	271441	2088	2
523	273529	19152	1
541	292681	6528	1
547	299209	11040	0
557	310249	6720	0
563	316969	6792	0
569	323761	2280	0
571	326041	6888	0
577	332929	11640	0
587	344569	7080	0
593	351649	7152	0
599	358801	2400	0
601	361201	7248	0
607	368449	7320	0
613	375769	4920	0
617	380689	2472	0
619	383161	15000	0
631	398161	12720	0
641	410881	2568	0
643	413449	5160	0
647	418609	7800	0
653	426409	7872	0
659	434281	2640	0
661	436921	16008	0
673	452929	5400	0
677	458329	8160	0
683	466489	10992	0
691	477481	13920	0
701	491401	11280	0
709	502681	14280	0
719	516961	11568	0
727	528529	8760	0
733	537289	8832	0
739	546121	5928	0
743	552049	11952	0
751	564001	9048	0
757	573049	6072	0
761	579121	12240	0
769	591361	6168	0
773	597529	21840	0
787	619369	15840	0
797	635209	19272	0
809	654481	3240	0
811	657721	16320	0
821	674041	3288	0
823	677329	6600	0
827	683929	3312	0
829	687241	16680	0
839	703921	23688	0
853	727609	6840	0
857	734449	3432	0
859	737881	6888	0
863	744769	24360	0
877	769129	7032	0
881	776161	3528	0
883	779689	7080	0
887	786769	35880	0
907	822649	7272	0
911	829921	14640	0
919	844561	18480	0
929	863041	14928	0
937	877969	7512	0
941	885481	11328	0
947	896809	11400	0
953	908209	26880	0
967	935089	7752	0
971	942841	11688	0
977	954529	11760	0
983	966289	15792	0
991	982081	11928	0
997	994009	0	0
